iter	Passed	Remaining
0	3	3885
1	7	3712
2	10	3647
3	14	3633
4	18	3779
5	22	3746
6	25	3682
7	29	3653
8	33	3734
9	37	3720
10	41	3689
11	44	3682
12	48	3705
13	52	3711
14	56	3683
15	59	3659
16	63	3684
17	68	3718
18	73	3804
19	79	3889
20	83	3881
21	87	3871
22	90	3851
23	93	3818
24	98	3834
25	101	3792
26	104	3766
27	106	3706
28	109	3682
29	114	3692
30	116	3656
31	120	3634
32	123	3619
33	125	3574
34	129	3561
35	132	3551
36	134	3499
37	137	3488
38	141	3479
39	145	3493
40	149	3487
41	152	3487
42	155	3452
43	158	3440
44	162	3453
45	166	3444
46	169	3438
47	173	3431
48	178	3455
49	181	3451
50	185	3445
51	188	3438
52	193	3450
53	196	3441
54	200	3449
55	204	3442
56	208	3442
57	211	3438
58	215	3432
59	218	3424
60	221	3414
61	225	3414
62	228	3405
63	232	3399
64	235	3392
65	239	3384
66	243	3385
67	246	3381
68	249	3367
69	252	3359
70	256	3360
71	260	3353
72	263	3346
73	266	3339
74	270	3337
75	274	3342
76	278	3335
77	281	3331
78	285	3323
79	288	3322
80	292	3315
81	295	3308
82	298	3301
83	302	3299
84	306	3299
85	310	3297
86	313	3290
87	317	3288
88	321	3289
89	325	3287
90	328	3286
91	332	3282
92	336	3285
93	340	3280
94	342	3260
95	345	3256
96	349	3252
97	354	3258
98	357	3254
99	361	3251
100	364	3244
101	368	3241
102	371	3237
103	375	3236
104	379	3230
105	382	3227
106	387	3230
107	390	3225
108	394	3220
109	397	3215
110	401	3214
111	404	3210
112	408	3206
113	411	3201
114	415	3196
115	419	3196
116	423	3194
117	426	3191
118	430	3188
119	434	3189
120	438	3183
121	442	3185
122	446	3181
123	450	3184
124	454	3184
125	458	3181
126	462	3181
127	468	3188
128	471	3184
129	475	3181
130	478	3176
131	483	3178
132	487	3175
133	491	3174
134	494	3171
135	499	3170
136	502	3168
137	506	3163
138	509	3158
139	514	3162
140	518	3159
141	522	3154
142	525	3151
143	529	3148
144	533	3142
145	536	3137
146	539	3132
147	543	3126
148	547	3124
149	550	3119
150	553	3113
151	557	3107
152	560	3105
153	564	3100
154	567	3094
155	570	3088
156	574	3082
157	579	3087
158	582	3082
159	586	3077
160	589	3072
161	593	3069
162	597	3067
163	600	3061
164	603	3055
165	607	3049
166	611	3048
167	614	3043
168	617	3038
169	622	3037
170	626	3037
171	630	3034
172	633	3030
173	637	3026
174	641	3024
175	645	3023
176	649	3019
177	652	3014
178	657	3014
179	660	3011
180	664	3006
181	668	3004
182	672	3000
183	676	2998
184	679	2993
185	682	2988
186	685	2982
187	689	2979
188	693	2975
189	696	2970
190	700	2964
191	703	2959
192	707	2957
193	710	2953
194	714	2948
195	717	2943
196	722	2943
197	725	2938
198	728	2933
199	731	2927
200	735	2922
201	739	2921
202	742	2917
203	746	2911
204	749	2906
205	753	2905
206	757	2900
207	760	2895
208	763	2890
209	766	2885
210	770	2882
211	774	2877
212	777	2872
213	780	2867
214	784	2863
215	787	2859
216	791	2854
217	794	2850
218	797	2845
219	802	2844
220	805	2840
221	809	2835
222	812	2831
223	816	2827
224	819	2823
225	823	2818
226	826	2813
227	829	2809
228	833	2806
229	836	2801
230	840	2798
231	844	2794
232	847	2788
233	851	2786
234	854	2781
235	857	2777
236	861	2772
237	864	2768
238	868	2763
239	871	2759
240	874	2754
241	878	2750
242	881	2746
243	885	2742
244	888	2738
245	891	2733
246	895	2728
247	898	2725
248	902	2721
249	905	2717
250	908	2712
251	912	2707
252	915	2704
253	919	2701
254	923	2696
255	926	2692
256	929	2688
257	933	2684
258	936	2679
259	939	2674
260	943	2670
261	947	2669
262	950	2664
263	954	2659
264	957	2655
265	960	2650
266	964	2647
267	967	2642
268	970	2637
269	973	2632
270	978	2631
271	981	2626
272	984	2622
273	988	2617
274	991	2613
275	995	2611
276	998	2607
277	1002	2602
278	1005	2598
279	1008	2593
280	1012	2590
281	1015	2586
282	1019	2582
283	1022	2578
284	1027	2576
285	1030	2573
286	1034	2569
287	1037	2564
288	1041	2561
289	1044	2558
290	1048	2554
291	1051	2550
292	1055	2546
293	1059	2544
294	1063	2540
295	1067	2537
296	1070	2533
297	1074	2530
298	1077	2526
299	1081	2522
300	1084	2518
301	1088	2515
302	1092	2513
303	1096	2511
304	1100	2507
305	1103	2503
306	1108	2501
307	1112	2498
308	1115	2494
309	1118	2490
310	1123	2488
311	1126	2484
312	1130	2480
313	1133	2476
314	1137	2472
315	1141	2470
316	1145	2467
317	1149	2464
318	1152	2460
319	1156	2457
320	1159	2453
321	1163	2450
322	1167	2446
323	1171	2443
324	1174	2439
325	1178	2435
326	1181	2431
327	1184	2427
328	1189	2425
329	1192	2421
330	1196	2418
331	1199	2414
332	1204	2411
333	1207	2407
334	1210	2403
335	1214	2399
336	1218	2396
337	1222	2394
338	1226	2390
339	1229	2387
340	1233	2383
341	1237	2381
342	1241	2378
343	1244	2373
344	1248	2370
345	1253	2368
346	1256	2364
347	1260	2361
348	1263	2357
349	1268	2354
350	1271	2351
351	1277	2351
352	1281	2347
353	1286	2347
354	1289	2343
355	1293	2340
356	1297	2336
357	1303	2338
358	1307	2334
359	1311	2330
360	1314	2326
361	1318	2324
362	1322	2320
363	1326	2317
364	1330	2314
365	1335	2312
366	1340	2312
367	1344	2308
368	1349	2308
369	1353	2304
370	1357	2301
371	1361	2298
372	1366	2296
373	1370	2294
374	1374	2290
375	1379	2288
376	1383	2286
377	1387	2283
378	1391	2279
379	1396	2277
380	1399	2273
381	1403	2269
382	1406	2265
383	1411	2264
384	1415	2260
385	1419	2258
386	1423	2254
387	1427	2252
388	1431	2248
389	1434	2243
390	1438	2240
391	1442	2236
392	1445	2232
393	1449	2228
394	1452	2224
395	1456	2220
396	1460	2218
397	1464	2215
398	1468	2211
399	1472	2208
400	1477	2206
401	1481	2203
402	1484	2199
403	1488	2195
404	1494	2195
405	1497	2191
406	1501	2188
407	1505	2183
408	1509	2181
409	1513	2177
410	1517	2174
411	1520	2170
412	1525	2168
413	1529	2164
414	1533	2161
415	1536	2157
416	1540	2154
417	1544	2150
418	1548	2147
419	1552	2144
420	1558	2143
421	1562	2140
422	1566	2136
423	1569	2132
424	1573	2128
425	1576	2124
426	1580	2120
427	1583	2116
428	1587	2113
429	1591	2109
430	1595	2106
431	1598	2102
432	1602	2098
433	1606	2094
434	1610	2092
435	1614	2087
436	1617	2083
437	1621	2080
438	1624	2076
439	1628	2072
440	1631	2068
441	1635	2065
442	1639	2061
443	1642	2057
444	1646	2053
445	1649	2049
446	1653	2046
447	1657	2041
448	1660	2037
449	1664	2033
450	1667	2030
451	1671	2026
452	1674	2022
453	1677	2017
454	1681	2014
455	1685	2010
456	1688	2006
457	1692	2002
458	1695	1998
459	1699	1995
460	1703	1991
461	1706	1987
462	1710	1983
463	1713	1979
464	1717	1975
465	1720	1972
466	1724	1967
467	1727	1964
468	1731	1960
469	1735	1956
470	1738	1952
471	1741	1948
472	1744	1944
473	1748	1940
474	1752	1936
475	1755	1932
476	1758	1928
477	1761	1923
478	1765	1920
479	1768	1916
480	1771	1911
481	1775	1908
482	1778	1904
483	1782	1900
484	1786	1896
485	1789	1892
486	1792	1888
487	1796	1885
488	1800	1881
489	1803	1877
490	1807	1873
491	1810	1869
492	1813	1865
493	1817	1861
494	1820	1857
495	1824	1853
496	1828	1850
497	1832	1846
498	1835	1843
499	1839	1839
500	1843	1836
501	1847	1832
502	1850	1828
503	1854	1825
504	1859	1822
505	1863	1819
506	1867	1815
507	1870	1811
508	1874	1808
509	1878	1804
510	1881	1800
511	1885	1797
512	1889	1793
513	1895	1791
514	1899	1789
515	1903	1785
516	1906	1781
517	1910	1777
518	1913	1773
519	1917	1769
520	1920	1765
521	1924	1762
522	1929	1759
523	1932	1755
524	1936	1751
525	1939	1748
526	1944	1744
527	1947	1740
528	1950	1736
529	1954	1732
530	1957	1729
531	1961	1725
532	1964	1721
533	1967	1717
534	1971	1713
535	1974	1709
536	1978	1705
537	1981	1701
538	1984	1697
539	1989	1694
540	1993	1690
541	1997	1688
542	2002	1685
543	2007	1682
544	2010	1678
545	2013	1674
546	2017	1670
547	2021	1667
548	2025	1663
549	2029	1660
550	2032	1656
551	2038	1654
552	2042	1650
553	2046	1647
554	2049	1643
555	2054	1640
556	2058	1637
557	2062	1633
558	2065	1629
559	2070	1626
560	2074	1623
561	2077	1619
562	2081	1615
563	2086	1612
564	2090	1609
565	2094	1605
566	2098	1602
567	2103	1599
568	2106	1595
569	2110	1591
570	2116	1590
571	2120	1586
572	2125	1584
573	2129	1580
574	2134	1577
575	2138	1574
576	2142	1570
577	2146	1566
578	2151	1564
579	2155	1560
580	2159	1557
581	2162	1553
582	2167	1550
583	2171	1546
584	2174	1542
585	2178	1538
586	2182	1535
587	2186	1531
588	2190	1528
589	2193	1524
590	2198	1521
591	2202	1518
592	2207	1514
593	2210	1510
594	2217	1509
595	2221	1506
596	2225	1502
597	2230	1499
598	2233	1495
599	2237	1491
600	2241	1487
601	2247	1485
602	2251	1482
603	2255	1478
604	2260	1475
605	2264	1472
606	2268	1468
607	2272	1464
608	2277	1462
609	2281	1458
610	2285	1454
611	2288	1451
612	2292	1447
613	2296	1443
614	2301	1440
615	2305	1436
616	2310	1434
617	2313	1430
618	2317	1426
619	2320	1422
620	2324	1418
621	2329	1415
622	2333	1412
623	2336	1408
624	2341	1404
625	2345	1401
626	2348	1397
627	2352	1393
628	2355	1389
629	2359	1385
630	2363	1381
631	2366	1377
632	2370	1374
633	2374	1370
634	2377	1366
635	2380	1362
636	2384	1359
637	2388	1355
638	2392	1351
639	2396	1347
640	2399	1344
641	2403	1340
642	2407	1336
643	2410	1332
644	2414	1328
645	2417	1324
646	2422	1321
647	2426	1317
648	2429	1314
649	2433	1310
650	2437	1306
651	2440	1302
652	2444	1298
653	2447	1294
654	2450	1290
655	2454	1287
656	2457	1283
657	2461	1279
658	2464	1275
659	2467	1271
660	2471	1267
661	2474	1263
662	2478	1259
663	2481	1255
664	2485	1251
665	2488	1248
666	2492	1244
667	2496	1240
668	2499	1236
669	2503	1233
670	2507	1229
671	2510	1225
672	2513	1221
673	2517	1217
674	2521	1214
675	2525	1210
676	2529	1206
677	2533	1203
678	2537	1199
679	2540	1195
680	2544	1191
681	2547	1187
682	2551	1184
683	2554	1180
684	2558	1176
685	2561	1172
686	2564	1168
687	2568	1164
688	2571	1160
689	2574	1156
690	2578	1153
691	2582	1149
692	2585	1145
693	2589	1141
694	2592	1137
695	2595	1133
696	2599	1130
697	2603	1126
698	2607	1122
699	2610	1118
700	2614	1115
701	2618	1111
702	2621	1107
703	2624	1103
704	2628	1099
705	2632	1096
706	2636	1092
707	2639	1088
708	2643	1085
709	2647	1081
710	2650	1077
711	2654	1073
712	2657	1069
